nom_interdit,categorie
abou-dhabi,capitales
abuja,capitales
accra,capitales
achgabat,capitales
addis-abeba,capitales
alger,capitales
amman,capitales
amsterdam,capitales
andorre,capitales
andorre-la-vieille,capitales
ankara,capitales
antananarivo,capitales
apia,capitales
asmara,capitales
astana,capitales
asuncion,capitales
athenes,capitales
bagdad,capitales
bakou,capitales
bamako,capitales
bandar-seri-begawan,capitales
bangkok,capitales
bangui,capitales
banjul,capitales
basseterre,capitales
belgrade,capitales
belmopan,capitales
berlin,capitales
berne,capitales
beyrouth,capitales
bichkek,capitales
bissau,capitales
bloemfontein,capitales
bogota,capitales
bonaire,capitales
brasilia,capitales
bratislava,capitales
brazzaville,capitales
bridgetown,capitales
bruxelles,capitales
bucarest,capitales
budapest,capitales
buenos-aires,capitales
bujumbura,capitales
canberra,capitales
caracas,capitales
castries,capitales
chisinau,capitales
conakry,capitales
copenhague,capitales
dacca,capitales
dakar,capitales
damas,capitales
dar-es-salam,capitales
delap-uliga-darrit,capitales
dili,capitales
djibouti,capitales
djouba,capitales
dodoma,capitales
doha,capitales
douchanbe,capitales
dublin,capitales
erevan,capitales
fagatogo,capitales
freetown,capitales
funafuti,capitales
gaborone,capitales
gibraltar,capitales
hagatna,capitales
hamilton,capitales
hanoi,capitales
harare,capitales
hargeisa,capitales
helsinki,capitales
honiara,capitales
islamabad,capitales
jakarta,capitales
jerusalem,capitales
kaboul,capitales
kampala,capitales
katmandou,capitales
khartoum,capitales
kiev,capitales
kigali,capitales
kingston,capitales
kingstown,capitales
kinshasa,capitales
kotte,capitales
koweit,capitales
kralendijk,capitales
kuala-lumpur,capitales
la-havane,capitales
la-haye,capitales
la-paz,capitales
la-valette,capitales
le-caire,capitales
le-cap,capitales
libreville,capitales
lilongwe,capitales
lima,capitales
lisbonne,capitales
ljubljana,capitales
lome,capitales
londres,capitales
luanda,capitales
lusaka,capitales
madrid,capitales
majuro,capitales
malabo,capitales
male,capitales
managua,capitales
manama,capitales
manille,capitales
maputo,capitales
mascate,capitales
maseru,capitales
mbabane,capitales
melekeok,capitales
mexico,capitales
minsk,capitales
mogadiscio,capitales
monrovia,capitales
montevideo,capitales
moroni,capitales
moscou,capitales
mossoul,capitales
nairobi,capitales
nankin,capitales
nassau,capitales
naypyidaw,capitales
ndjamena,capitales
new-delhi,capitales
niamey,capitales
nicosie,capitales
nouakchott,capitales
nuku-alofa,capitales
nukualofa,capitales
oslo,capitales
ottawa,capitales
ouagadougou,capitales
oulan-bator,capitales
palikir,capitales
papeete,capitales
paramaribo,capitales
paris,capitales
pekin,capitales
phnom-penh,capitales
podgorica,capitales
port-au-prince,capitales
port-d-espagne,capitales
port-despagne,capitales
port-louis,capitales
port-moresby,capitales
port-vila,capitales
porto-novo,capitales
prague,capitales
praia,capitales
pretoria,capitales
pristina,capitales
putrajaya,capitales
pyongyang,capitales
quito,capitales
rabat,capitales
ramallah,capitales
reykjavik,capitales
riga,capitales
riyad,capitales
rome,capitales
roseau,capitales
saint-domingue,capitales
